nameid	profession	education	house_loan	car_loan	married	child	revenue	approve
181	1	5	0	0	1	0	16980	1
182	5	5	0	0	0	1	22312	1
183	5	4	0	1	1	1	29391	1
184	1	4	0	0	0	1	41010	1
185	4	3	1	0	1	1	34073	0
186	5	2	1	1	0	1	48604	0
187	5	3	1	1	1	0	41831	1
188	1	2	0	1	0	1	14920	1
189	3	3	0	0	1	0	16952	1
190	1	5	1	1	1	0	10172	1
191	1	1	0	1	0	1	10557	1
192	3	2	1	0	0	1	11664	1
193	3	4	1	0	0	0	15097	1
194	5	3	0	1	0	1	38255	1
195	1	2	1	1	0	1	15180	1
196	5	2	0	0	1	1	18056	1
197	1	3	1	0	0	1	11945	0
198	1	4	1	1	0	0	5782	0
199	1	1	0	0	1	1	15169	1
200	3	2	1	0	1	0	46765	1
201	5	3	0	1	0	0	13734	1
202	2	4	1	0	0	1	17882	1
203	1	3	1	0	0	0	12868	1
204	1	3	0	0	1	0	29331	1
205	4	3	0	1	1	1	14019	1
206	3	5	0	1	0	0	31975	1
207	2	1	1	1	0	1	12201	0
208	4	3	0	1	0	0	11749	1
209	3	2	0	1	1	0	7332	0
210	3	2	1	0	0	0	9820	1
211	5	1	1	0	1	1	12318	1
212	4	3	1	0	1	0	6663	0
213	2	2	1	1	1	0	24152	1
214	1	1	1	1	1	0	9881	1
215	2	4	1	0	1	1	22542	1
216	3	2	0	1	1	0	11158	1
217	1	2	1	1	0	0	48847	1
218	2	1	1	0	1	0	19114	1
219	5	1	1	0	0	0	10805	1
220	1	3	0	0	0	0	9061	0
221	1	4	0	1	0	1	19541	1
222	4	3	0	1	1	1	14221	1
223	1	5	0	1	0	0	18205	1
224	2	5	1	1	1	0	46763	1
225	4	1	1	1	1	0	44180	1
226	2	3	1	1	1	1	47003	0
227	3	4	1	0	1	1	8856	1
228	3	5	0	1	0	0	13474	1
229	4	2	1	1	1	0	27625	1
230	2	3	1	0	0	1	41642	1
231	2	1	1	1	0	1	15337	0
232	4	1	0	1	0	0	17764	1
233	3	1	1	0	0	1	18903	1
234	1	2	0	0	1	1	27229	1
235	4	4	1	0	1	1	38993	1
236	3	5	0	1	0	0	13026	0
237	3	1	0	0	1	1	8832	1
238	5	3	1	0	0	1	8523	1
239	3	3	1	0	0	1	15247	1
240	4	4	1	1	0	1	29827	0
241	2	3	0	0	0	0	10383	1
242	3	5	1	0	0	0	13693	1
243	2	4	1	0	0	0	16398	1
244	5	4	0	1	0	0	35566	1
245	1	1	1	0	1	1	9776	1
246	2	3	0	1	0	0	26614	1
247	2	3	1	0	1	0	27797	1
248	5	4	1	1	1	0	15301	0
249	1	5	0	0	1	1	6339	1
250	3	4	1	0	0	0	38076	1
251	1	5	0	1	0	1	22024	1
252	1	2	1	1	0	1	45019	0
253	5	4	0	0	0	0	46831	1
254	2	3	1	1	1	0	9244	1
255	4	2	1	1	1	1	13154	0
256	5	4	1	1	0	1	14578	0
257	4	2	1	1	1	1	15131	0
258	4	5	0	1	1	0	49783	1
259	5	1	0	1	0	0	14870	0
260	4	5	1	1	1	1	23895	0
261	1	1	1	1	1	1	9667	0
262	1	3	0	0	1	0	10905	1
263	5	5	1	1	0	0	38483	1
264	1	3	1	1	0	1	29938	0
265	3	2	1	0	1	1	38435	1
266	3	4	0	1	0	1	25002	0
267	5	2	1	0	0	0	15028	1
268	1	3	1	1	1	0	7810	0
269	5	3	1	0	1	1	26822	1
270	3	3	1	0	1	0	45295	1
271	5	4	1	1	0	1	48934	0
272	1	4	1	0	0	1	6304	0
273	2	3	0	0	1	0	44197	1
274	1	2	0	1	0	0	13737	0
275	2	2	1	1	1	1	20750	0
276	2	4	1	0	1	0	18237	1
277	5	2	0	0	0	0	8538	1
278	2	1	1	1	1	1	44584	0
279	3	2	1	0	0	0	22156	1
280	5	3	0	1	0	1	43739	1
281	1	5	1	0	1	1	45566	1
282	3	3	0	1	1	0	44375	0
283	3	5	1	1	1	1	21350	0
284	3	1	1	0	1	1	44853	1
285	5	1	1	1	1	1	6990	0
286	2	5	0	0	0	1	35163	0
287	3	2	0	1	0	1	46187	1
288	4	2	1	1	1	0	6612	0
289	3	4	1	1	0	1	37204	0
290	3	3	1	0	0	0	6389	0
291	4	1	0	0	0	1	18293	0
292	2	5	1	0	0	1	42352	1
293	3	3	0	1	0	1	24320	1
294	4	2	0	0	1	0	6502	1
295	1	1	1	0	0	1	49637	0
296	4	4	0	1	1	1	38665	1
297	3	4	0	0	1	1	46583	1
298	3	2	1	1	1	1	13164	0
299	2	5	1	0	1	1	14083	1
300	3	1	0	1	1	1	16239	1
301	1	1	0	0	1	0	19916	0
302	3	4	1	1	1	0	11320	1
303	2	1	1	0	0	1	13167	1
304	4	3	1	0	1	0	18460	1
305	1	2	1	1	1	1	24479	0
306	4	2	0	1	0	1	19572	0
307	2	5	0	0	1	0	16398	1
308	3	4	0	0	1	0	40277	1
309	5	3	0	0	1	0	35665	1
310	5	4	0	0	1	0	26750	0
311	2	2	0	0	0	0	22158	1
312	1	3	0	1	0	0	8388	1
313	2	4	0	0	0	0	30120	0
314	2	3	1	1	0	0	11181	1
315	2	3	1	1	1	1	5547	0
316	2	1	0	1	1	0	14972	1
317	5	1	0	1	0	0	18421	1
318	2	5	0	1	0	1	12626	1
319	3	1	0	1	0	1	29938	1
320	5	2	0	0	1	0	5178	0
321	3	2	0	0	1	1	9507	1
322	2	5	0	0	0	0	43136	1
323	3	1	1	0	1	0	21797	1
324	5	3	1	0	1	1	46133	1
325	3	5	1	1	1	0	26323	0
326	1	3	1	1	0	0	17216	1
327	3	3	1	1	1	1	6377	0
328	2	5	0	0	0	1	6814	1
329	1	4	0	0	0	1	7748	1
330	5	5	1	1	1	0	9044	1
331	3	3	0	1	1	0	12986	1
332	3	5	1	1	1	0	24352	0
333	2	4	1	1	0	1	21052	0
334	5	2	0	1	1	1	46544	0
335	3	3	0	1	0	1	9756	1
336	4	1	0	1	0	0	49439	1
337	2	1	1	0	1	0	14768	1
338	4	4	0	0	0	1	37528	1
339	4	4	0	0	1	1	21801	0
340	2	1	0	0	0	1	43630	1
341	5	5	1	0	1	0	9327	1
342	2	4	1	1	0	1	17657	0
343	4	5	0	0	1	1	6651	0
344	5	5	1	1	0	0	49628	1
345	4	3	1	1	0	1	16100	0
346	1	3	0	1	1	0	22316	1
347	4	1	0	1	0	0	27711	1
348	4	4	0	1	0	1	12502	0
349	1	2	0	0	0	1	25825	1
350	1	1	0	0	0	0	24607	1
351	3	4	0	1	0	0	24540	0
352	4	4	0	0	0	0	20829	1
353	2	4	1	1	0	1	14898	0
354	4	1	0	1	1	0	24878	1
355	2	2	1	0	1	1	9702	1
356	4	4	1	0	0	0	36438	1
357	5	2	0	1	1	0	5952	0
358	3	3	0	0	0	1	13063	1
359	1	5	1	1	0	0	10841	1
360	2	4	1	0	1	1	43503	0
361	1	1	0	1	0	1	41417	1
362	1	1	0	1	1	0	49195	0
363	1	3	0	0	0	1	18103	1
364	5	5	0	0	1	0	23866	1
365	2	5	1	0	1	0	35850	1
366	3	5	1	1	1	0	16166	1
367	4	1	1	0	0	1	10036	1
368	3	4	1	1	0	1	28275	0
369	1	1	0	0	0	1	9754	1
370	3	4	1	1	1	1	41273	0
371	2	2	1	1	1	0	30790	1
372	1	3	1	1	0	0	22410	1
373	1	5	0	1	0	1	7690	0
374	3	5	1	0	1	1	40319	1
375	3	2	0	1	0	0	9836	1
376	1	5	0	1	0	1	12596	1
377	3	3	0	0	1	0	9801	0
378	3	1	0	0	1	1	20100	1
379	2	3	0	1	0	0	38692	1
380	1	5	1	1	0	0	16943	1
381	1	4	1	0	1	1	23852	1
382	3	5	1	0	0	1	34880	1
383	5	4	1	0	1	1	14091	0
384	1	5	1	0	0	0	12335	1
385	2	4	0	0	0	1	22732	1
386	2	3	1	0	1	1	5343	0
387	3	3	1	0	0	1	10612	1
388	3	1	1	0	1	1	31051	0
389	4	2	0	0	1	0	42317	1
390	3	5	1	1	1	0	11869	1
391	4	4	1	0	1	1	26086	1
392	2	2	1	0	0	0	35642	1
393	3	1	0	0	0	1	11821	0
394	5	4	1	1	1	0	11043	1
395	2	4	0	1	1	1	37761	1
396	1	2	0	1	1	0	12987	0
397	3	4	0	1	0	0	10767	1
398	1	2	0	1	0	1	44855	1
399	1	5	1	0	1	1	7418	0
400	5	2	1	0	0	1	10105	0
401	1	1	0	1	1	0	20166	1
402	4	1	1	0	1	0	39093	1
403	1	5	1	1	0	1	18558	0
404	4	3	1	1	0	1	33485	0
405	5	4	0	1	1	0	7134	1
406	4	2	1	1	0	1	22396	0
407	5	2	0	1	0	0	5262	1
408	2	5	0	1	0	0	10470	1
409	4	2	1	0	1	0	18255	1
410	1	4	1	0	1	0	8763	0
411	3	5	1	1	1	1	19190	0
412	5	2	1	1	0	0	8707	1
413	1	2	1	1	0	0	7962	0
414	4	2	1	0	0	1	12698	1
415	3	4	1	0	0	1	36781	1
416	4	5	1	0	0	0	34938	1
417	3	5	1	1	0	1	14568	0
418	1	3	0	0	0	0	17312	1
419	2	2	1	0	0	0	13259	1
420	3	1	1	0	0	0	9880	1
421	5	3	0	1	0	1	39915	1
422	2	1	1	1	1	1	12267	0
423	1	5	0	0	0	0	14201	1
424	1	1	1	0	0	0	18416	1
425	1	4	1	0	0	1	22337	1
426	2	3	1	0	0	1	8742	1
427	2	5	0	0	1	1	8145	1
428	2	2	1	0	0	1	8973	1
429	5	4	1	1	1	0	22981	1
430	2	5	0	0	0	1	7071	1
431	5	5	1	1	0	0	14021	1
432	3	3	1	0	0	1	17099	1
433	1	2	0	0	1	1	5521	1
434	1	1	1	0	0	0	27974	1
435	3	3	0	1	1	0	18159	1
436	1	5	0	1	1	0	26518	1
437	5	2	0	0	0	0	23735	1
438	1	4	1	0	0	0	16319	1
439	5	2	1	0	0	1	34387	1
440	3	5	0	0	0	1	18349	1
441	4	1	0	1	1	1	20731	1
442	1	2	0	1	0	1	28366	1
443	3	2	1	0	1	1	6381	0
444	5	5	1	1	0	1	16002	0
445	2	5	0	0	0	1	18302	1
446	3	1	1	0	1	0	49316	1
447	4	1	1	1	1	0	27194	1
448	1	1	1	0	1	0	29220	1
449	3	4	1	1	0	1	13791	0
450	2	4	0	0	0	0	10268	1
451	2	5	1	0	0	1	24925	1
452	2	5	0	1	1	0	21180	1
453	3	5	1	0	1	1	13983	1
454	1	1	1	1	0	1	12740	0
455	3	2	1	0	1	1	13924	1
456	2	1	1	0	0	1	42011	1
457	4	4	0	1	1	1	13711	1
458	3	3	0	1	1	0	5915	1
459	1	5	1	1	0	1	25415	0
460	2	2	0	0	0	0	24059	1
461	3	4	1	0	1	0	5080	0
462	1	2	0	0	1	0	33169	1
463	4	4	0	0	1	1	39707	1
464	5	1	1	1	0	0	8736	1
465	3	1	1	1	1	0	11344	1
466	5	2	0	0	1	1	13806	1
467	2	5	1	0	0	0	13967	1
468	1	2	0	1	1	1	17555	1
469	5	1	1	1	0	0	9196	1
470	2	1	0	0	1	0	27112	1
471	2	4	0	0	0	1	14016	1
472	5	2	1	0	0	0	15673	1
473	4	1	0	0	1	0	12887	1
474	3	1	0	1	0	1	21370	1
475	5	1	0	0	0	0	15293	1
476	3	5	0	1	0	1	17596	1
477	4	1	1	1	0	1	47290	0
478	3	5	0	1	0	1	39031	1
479	2	4	0	0	0	0	26506	1
480	1	3	0	0	1	0	13398	1
481	1	1	0	0	1	0	49134	1
482	3	3	1	0	0	0	6669	0
483	3	2	0	0	0	1	31509	1
484	1	3	0	1	0	1	12228	1
485	2	2	1	1	0	0	12925	1
486	4	5	0	0	1	1	29421	1
487	1	2	1	1	0	0	32677	1
488	4	5	0	0	0	0	49845	1
489	1	2	1	0	0	1	11036	1
490	5	1	0	0	0	0	31774	1
491	4	4	1	0	1	0	17190	1
492	1	1	0	1	1	1	17403	1
493	4	4	0	1	0	0	43188	1
494	1	4	1	0	1	1	46786	1
495	5	4	0	1	0	1	23407	1
496	1	4	1	0	0	0	35673	1
497	5	4	0	1	0	0	6535	1
498	2	5	1	0	1	0	17882	1
499	5	2	1	1	1	1	10965	0
500	4	4	0	0	0	1	16645	1
501	4	3	1	0	0	1	5863	0
502	4	1	0	0	1	1	48036	1
503	2	4	1	0	0	1	11131	1
504	4	5	0	1	0	1	18054	1
505	5	1	0	1	1	0	28627	1
506	2	3	0	1	1	1	19169	1
507	2	5	0	1	0	0	46993	1
508	4	4	1	1	0	0	21430	1
509	4	2	1	1	1	1	31178	0
510	4	1	0	0	1	0	45114	1
511	4	2	0	0	1	1	16291	1
512	4	4	1	0	0	1	19040	1
513	4	2	0	0	1	0	37245	1
514	1	5	1	1	1	0	11834	1
515	3	5	0	0	0	0	6830	1
516	1	5	1	0	0	1	17222	1
517	3	4	0	1	0	0	18279	1
518	3	1	1	1	1	0	27291	1
519	1	5	0	0	0	0	9167	1
520	2	2	1	1	1	1	25660	0
521	5	1	1	0	1	1	5277	0
522	5	1	1	1	0	0	19341	1
523	5	4	0	1	1	1	40381	1
524	1	3	1	0	1	1	22476	1
525	1	4	0	1	1	0	14922	1
526	3	4	0	1	0	1	49230	1
527	5	1	0	1	0	1	25828	1
528	3	5	1	0	1	1	6180	0
529	2	4	1	0	0	0	30907	1
530	4	4	0	0	1	1	27880	1
531	1	4	0	1	0	0	44073	1
532	5	2	1	1	0	0	13564	1
533	4	1	0	1	1	0	41032	1
534	4	3	1	0	1	1	23469	1
535	3	4	0	1	1	1	9101	1
536	5	3	1	0	0	1	15055	1
537	1	1	0	0	0	0	12500	1
538	4	3	0	1	1	0	37470	1
539	3	1	1	1	0	0	6209	0
540	5	2	0	0	0	0	48795	1
541	5	1	1	0	0	0	20042	1
542	2	2	0	0	1	0	15434	1
543	3	4	1	0	1	1	12611	1
544	2	3	0	1	1	1	43176	1
545	1	4	1	1	1	1	17577	0
546	4	3	1	0	0	0	26261	1
547	1	5	1	1	1	1	19689	0
548	2	2	1	1	1	1	41432	0
549	4	5	1	0	1	0	32960	1
550	3	1	0	0	0	1	41896	1
551	2	3	0	1	0	1	7794	1
552	1	5	0	1	1	0	41944	1
553	2	3	0	1	0	1	8615	1
554	5	5	1	0	1	1	9184	1
555	2	1	1	0	1	0	11915	1
556	5	1	1	0	1	0	18474	1
557	2	4	0	1	0	0	11885	1
558	1	4	1	0	0	1	16966	1
559	3	1	0	0	1	1	36182	1
560	2	2	1	1	1	1	33406	0
561	5	2	1	0	1	1	8702	1
562	2	3	1	1	0	0	47464	1
563	1	4	0	1	0	1	44368	1
564	2	2	0	1	1	1	13825	1
565	4	1	0	1	0	0	42133	1
566	1	1	1	1	1	0	13503	1
567	3	4	0	0	0	1	12250	1
568	4	2	0	0	0	0	9749	1
569	2	3	0	1	1	0	18570	1
570	4	2	0	1	1	0	6260	1
571	3	4	1	0	1	1	41657	1
572	4	4	0	1	1	0	12592	1
573	5	2	1	1	1	0	15944	1
574	5	1	0	1	0	0	27978	1
575	2	3	1	0	1	1	18316	1
576	1	4	1	1	1	0	17104	1
577	3	2	0	1	0	1	17537	1
578	3	3	0	1	0	0	23890	1
579	4	1	1	0	1	0	20685	1
580	5	4	1	1	1	1	8438	0
581	4	4	0	1	0	1	21891	0
582	2	3	1	1	1	0	16090	0
583	1	2	1	0	0	1	10333	0
584	3	3	0	0	1	0	12381	0
585	5	3	0	0	0	1	21774	0
586	4	5	1	0	1	1	12719	0
587	3	4	1	0	0	1	8599	0
588	2	1	1	1	0	0	15193	0
589	5	3	0	0	0	1	27774	0
590	2	5	0	0	1	1	10481	0
591	2	5	1	1	0	1	47978	0
592	4	2	0	0	1	1	48547	0
593	1	5	0	1	0	1	32365	0
594	3	2	1	1	1	0	20037	0
595	4	3	1	1	0	0	25294	0
596	1	5	0	0	1	1	36432	0
597	5	5	0	0	0	0	27014	0
598	5	1	0	1	0	0	37802	0
599	2	1	0	0	1	1	37204	0
600	2	4	1	1	0	1	49590	0
601	4	2	0	0	0	1	33809	0
602	2	2	1	1	1	1	19644	0
603	2	1	1	1	0	1	15767	0
604	5	5	0	1	0	1	18921	0
605	2	3	1	0	1	0	14530	0
606	2	3	0	0	1	0	8436	0
607	1	1	0	1	0	0	16151	0
608	2	5	1	1	0	1	26175	0
609	1	3	1	1	0	1	32279	0
610	4	5	1	1	0	1	17555	0
611	1	1	1	1	0	1	28087	0
612	1	3	0	1	0	1	33782	0
613	4	1	1	0	0	0	25661	0
614	2	4	1	0	0	1	24124	0
615	5	5	1	0	0	1	27981	0
616	4	1	0	1	1	0	17760	0
617	1	2	1	1	0	1	48705	0
618	5	2	0	1	1	0	36898	1
619	2	3	0	1	1	1	8086	1
620	1	4	1	1	0	0	13440	1
621	5	5	0	1	0	1	5364	1
622	3	2	0	0	0	0	36969	1
623	3	5	0	1	0	1	6838	1
624	5	3	1	1	1	1	9000	0
625	3	5	1	0	0	0	6935	0
626	1	3	1	0	1	1	15091	1
627	3	3	0	0	0	1	19528	1
628	4	4	0	1	0	0	10915	1
629	5	2	1	0	1	1	19159	1
630	3	3	0	1	0	0	40364	1
631	1	1	0	1	1	1	16028	1
632	5	5	1	1	0	0	23686	1
633	4	2	0	0	1	0	17943	1
634	4	5	1	1	0	1	28058	0
635	4	4	0	0	1	1	44417	1
636	3	2	1	1	0	0	24202	1
637	4	1	1	1	0	0	35021	1
638	1	1	1	0	1	1	27446	1
639	4	5	0	0	0	1	16592	1
640	2	1	0	0	0	1	26370	1
641	2	3	0	0	1	0	42431	0
642	4	5	0	1	0	0	5620	0
643	4	3	1	0	1	0	19761	0
644	2	5	1	1	1	1	22435	0
645	1	4	0	0	0	1	35597	0
646	4	5	0	0	1	1	37798	0
647	1	1	0	0	0	1	14037	0
648	1	2	1	0	1	1	40842	0
649	4	3	0	1	1	1	12488	0
650	5	3	0	0	0	1	41135	0
651	4	2	0	1	0	1	19442	0
652	1	1	0	1	1	0	9598	1
653	3	2	1	1	0	1	17012	0
654	5	5	0	1	0	1	15948	1
655	3	3	1	0	0	1	26697	1
656	4	3	1	1	0	0	15441	1
657	2	2	1	1	0	1	15977	0
658	4	1	1	1	1	1	14206	0
659	5	3	1	0	1	1	9205	1
660	2	5	0	1	1	0	8182	1
661	5	4	1	0	1	0	10750	1
662	1	5	1	1	1	0	41587	1
663	4	2	1	0	1	1	16833	1
664	4	4	0	1	1	0	34543	1
665	3	5	1	1	0	0	33967	1
666	1	5	1	0	0	1	47787	1
667	4	1	0	0	0	0	27239	1
668	3	3	1	0	0	0	20442	1
669	4	2	0	0	0	0	10853	1
670	4	3	1	1	0	1	18325	0
671	1	2	0	0	1	1	22568	1
672	1	5	1	1	0	1	27785	0
673	1	4	1	0	0	0	40163	1
674	2	3	0	0	1	0	15666	1
675	3	4	0	0	1	0	9533	1
676	5	4	0	1	0	1	17589	1
677	2	3	1	0	1	0	19363	1
678	1	2	0	0	1	1	42808	1
679	3	4	1	0	1	0	28369	1
680	2	1	1	1	0	0	20588	1
681	5	5	0	1	1	0	27246	1
682	4	2	0	0	0	1	31451	1
683	3	5	1	1	0	1	26601	0
684	4	3	0	0	0	0	18946	1
685	3	2	1	0	1	1	16677	1
686	5	5	1	1	1	0	33440	1
687	1	3	0	1	0	0	25808	1
688	1	4	1	1	1	1	17090	0
689	5	2	1	1	1	1	21517	0
690	3	5	0	1	0	0	44803	1
691	2	1	0	0	0	0	9805	1
692	1	1	0	0	0	0	35429	1
693	4	3	1	0	1	1	18885	1
694	1	2	0	0	0	0	12383	1
695	1	5	0	1	1	1	17895	1
696	4	2	1	1	0	0	13056	1
697	5	3	1	1	1	1	6557	0
698	5	2	0	1	0	1	40509	1
699	2	1	1	1	1	1	15008	0
700	3	3	1	1	0	0	40826	1
701	2	2	0	1	0	1	23664	1
702	1	4	0	0	0	0	19560	1
703	3	5	0	1	0	0	38393	1
704	3	1	0	0	1	1	26343	1
705	3	5	0	1	0	0	18529	1
706	4	3	1	1	0	1	15845	0
707	4	1	1	0	1	0	12119	1
708	4	5	1	1	0	1	12414	0
709	5	1	0	0	0	0	21011	1
710	2	3	1	1	0	1	25327	0
711	3	1	1	0	0	0	43553	1
712	5	5	1	1	0	0	10969	1
713	4	1	1	1	1	1	29930	0
714	3	5	0	0	0	1	22326	1
715	3	1	0	0	1	0	20854	1
716	3	3	1	1	1	0	6749	0
717	3	1	0	0	1	0	38915	1
718	4	4	0	1	1	1	5760	1
719	1	1	0	0	1	1	18957	1
720	1	1	0	0	0	1	19193	1
721	3	2	1	0	1	0	39631	1
722	1	2	0	0	1	1	45493	1
723	1	5	0	0	1	0	11759	1
724	3	3	0	1	0	1	14702	1
725	3	2	0	0	0	0	38874	1
726	2	3	1	1	1	1	21958	0
727	1	3	1	1	0	1	22887	0
728	2	4	0	0	0	0	14998	1
729	3	4	1	1	1	1	7878	0
730	4	5	0	1	0	1	25721	1
731	2	4	0	0	0	0	44965	1
732	1	5	1	0	0	0	34498	1
733	3	3	1	0	1	1	19944	1
